Tool,Level,F1_ER,IQR_ER,F1_EC,IQR_EC,Hst,Pval,FDRp
kraken,Species,24.827586206896555,18.387523129791177,24.827586206896555,18.820512820512825,0.017653167185870816,0.8942999719133558,1.0
metaphlan,Species,40.0,19.642857142857146,40.0,19.642857142857146,0.001982045004080737,0.9644897793498122,1.0
eukdetect,Species,71.91011235955055,8.16920026437542,72.09302325581395,3.702757916241069,0.007829591249273456,0.9294912236938792,1.0
HMS,Species,21.153846153846157,11.932773109243694,16.333333333333332,3.2023809523809526,3.555555555555557,0.05934643879191993,0.7121572655030391
kraken,Genus,40.0,13.467009890258769,40.0,14.403778040141674,0.00785400785400092,0.9293816554307934,1.0
metaphlan,Genus,42.857142857142854,29.038461538461533,42.857142857142854,29.038461538461533,0.0,1.0,1.0
eukdetect,Genus,92.85714285714283,1.8099547511312153,92.03539823008849,4.262574595055412,0.570416811796124,0.4500933340143316,1.0
HMS,Genus,44.23076923076923,7.666328942924686,42.79523293607801,9.057778831106305,1.0052673424766512,0.3160393131004856,1.0
kraken,Family,48.78048780487805,19.87525987525988,48.78048780487805,20.728744939271255,0.017689906347547968,0.8941906858247493,1.0
metaphlan,Family,44.44444444444444,27.642276422764233,44.44444444444444,27.642276422764233,0.0,1.0,1.0
eukdetect,Family,88.3720930232558,6.666666666666686,88.3720930232558,5.555555555555571,0.0,1.0,1.0
HMS,Family,61.111111111111114,15.4158215010142,57.315936626281456,23.571761416589005,0.28276481149012567,0.5948947610952994,1.0
